HMDB_ID,compound_name,Molecular_Formula,MonoisotopicMass,smiles,inchikey
HMDB0047824,"TG(14:1(9Z)/20:0/18:2(9Z,12Z))",C55H100O6,856.7519909,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,RFMPQNSSBPXIIY-HLUBQEQQSA-N
HMDB0047833,"TG(14:1(9Z)/20:0/18:4(6Z,9Z,12Z,15Z))",C55H96O6,852.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCCCCCC,QATNEARFLCYVEE-JVUXECHJSA-N
HMDB0047826,TG(14:1(9Z)/20:0/20:2n6),C57H104O6,884.783291,[H][C@@](COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,NUYRINJQOPQTKC-YXBKKIBYSA-N
HMDB0047821,"TG(14:1(9Z)/20:0/20:3(5Z,8Z,11Z))",C57H102O6,882.767641,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,DIKFHEKYQJZAEV-AILMYUQKSA-N
HMDB0047827,TG(14:1(9Z)/20:0/20:3n6),C57H102O6,882.767641,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,AUEYCFPJLUPBLD-VBAODHEZSA-N
HMDB0047828,"TG(14:1(9Z)/20:0/20:4(5Z,8Z,11Z,14Z))",C57H100O6,880.7519909,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,FCJIOGHLJHBKRR-KTSHDULSSA-N
HMDB0047834,"TG(14:1(9Z)/20:0/20:4(8Z,11Z,14Z,17Z))",C57H100O6,880.7519909,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCCCCCC,LKBVKNFLTKNLFF-RWCMAYOLSA-N
HMDB0047822,TG(14:1(9Z)/20:0/22:1(13Z)),C59H110O6,914.8302412,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,QMOZRBHWRVHQOJ-AZKDRWSUSA-N
HMDB0047823,TG(14:1(9Z)/20:0/24:1(15Z)),C61H114O6,942.8615414,[H][C@@](COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,XJZRZLMCPQTTIU-GWPMROEHSA-N
HMDB0047979,TG(14:1(9Z)/20:1(11Z)/18:1(11Z)),C55H100O6,856.7519909,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,HWXYJCBLRIWFEE-WWAUBUJQSA-N
