HMDB_ID,compound_name,Molecular_Formula,MonoisotopicMass,smiles,inchikey
HMDB0003331,1-Methyladenosine,C11H15N5O4,281.112404,CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,GFYLSDSUCHVORB-IOSLPCCCSA-N
HMDB0094654,1-Methylethyl_heptanoic_acid,C10H20O2,172.1463299,CCCCCCC(=O)OC(C)C,RMQUEHVMCJEEOS-UHFFFAOYSA-N
HMDB0001563,1-Methylguanosine,C11H15N5O5,297.1073186,CN1C(N)=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O,UTAIYTHAJQNQDW-KQYNXXCUSA-N
HMDB0000898,1-Methylhistamine,C6H11N3,125.0952974,CN1C=NC(CCN)=C1,FHQDWPCFSJMNCT-UHFFFAOYSA-N
HMDB0000001,1-Methylhistidine,C7H11N3O2,169.0851266,CN1C=NC(C[C@H](N)C(O)=O)=C1,BRMWTNUJHUMWMS-LURJTMIESA-N
HMDB0000699,1-Methylnicotinamide,C7H9N2O,137.0709393,C[N+]1=CC=CC(=C1)C(N)=O,LDHMAVIPBRSVRG-UHFFFAOYSA-O
HMDB0033113,1-Methylpyrrole,C5H7N,81.05784922,CN1C=CC=C1,OXHNLMTVIGZXSG-UHFFFAOYSA-N
HMDB0003099,1-Methyluric_acid,C6H6N4O3,182.0439901,CN1C(=O)NC2=C(NC(=O)N2)C1=O,QFDRTQONISXGJA-UHFFFAOYSA-N
HMDB0010738,1-Methylxanthine,C6H6N4O2,166.0490754,CN1C(=O)NC2=C(NC=N2)C1=O,MVOYJPOZRLFTCP-UHFFFAOYSA-N
HMDB0001301,1-Pyrroline-5-carboxylic_acid,C5H7NO2,113.0476785,OC(=O)[C@@H]1CCC=N1,DWAKNKKXGALPNW-BYPYZUCNSA-N
HMDB0003156,"2,3-Butanediol",C4H10O2,90.06807956,CC(O)C(C)O,OWBTYPJTUOEWEK-UHFFFAOYSA-N
HMDB0001051_,"2,3-Dihydroxypropanal",C3H6O3,90.0317,C(C(C=O)O)O,MNQZXJOMYWMBOU-UHFFFAOYSA-N
HMDB0031476,"2,3-Heptanedione",C7H12O2,128.0837296,CCCCC(=O)C(C)=O,FJPGAMCQJNLTJC-UHFFFAOYSA-N
HMDB0031491,"2,3-Hexanedione",C6H10O2,114.0680796,CCCC(=O)C(C)=O,MWVFCEVNXHTDNF-UHFFFAOYSA-N
HMDB0031598,"2,3-Pentanedione",C5H8O2,100.0524295,CCC(=O)C(C)=O,TZMFJUDUGYTVRY-UHFFFAOYSA-N
HMDB0002362,"2,4-Diaminobutyric_acid",C4H10N2O2,118.0742276,NCCC(N)C(O)=O,OGNSCSPNOLGXSM-UHFFFAOYSA-N
HMDB0031429,"2,4-Dimethyl-3-pentanone",C7H14O,114.1044651,CC(C)C(=O)C(C)C,HXVNBWAKAOHACI-UHFFFAOYSA-N
HMDB0031648,"2,4-Pentanedione",C5H8O2,100.0524295,CC(=O)CC(C)=O,YRKCREAYFQTBPV-UHFFFAOYSA-N
HMDB0030307,"2,6,8-Trimethyldecane",C13H28,184.2191009,CCC(C)CC(C)CCCC(C)C,SWDJLVOSNCGQGB-UHFFFAOYSA-N
HMDB0033161,"2,6-Pyridinedicarboxylic_acid",C7H5NO4,167.0218576,OC(=O)C1=CC=CC(=N1)C(O)=O,WJJMNDUMQPNECX-UHFFFAOYSA-N
HMDB0034252,2-Aminoheptanedioic_acid,C7H13NO4,175.0844579,NC(CCCCC(O)=O)C(O)=O,JUQLUIFNNFIIKC-UHFFFAOYSA-N
HMDB0094649,2-Aminoheptanoate,C7H15NO2,145.1102787,CCCCC[C@H](N)C(O)=O,RDFMDVXONNIGBC-LURJTMIESA-N
HMDB0001906,2-Aminoisobutyric_acid,C4H9NO2,103.0633285,CC(C)(N)C(O)=O,FUOOLUPWFVMBKG-UHFFFAOYSA-N
HMDB0011469,2-Butanol,C4H10O,74.07316494,CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N
HMDB0034233,2-Butenal,C4H6O,70.04186481,C\C=C\C=O,MLUCVPSAIODCQM-NSCUHMNNSA-N
HMDB0040272,2-Butylfuran,C8H12O,124.088815,CCCCC1=CC=CO1,NWZIYQNUCXUJJJ-UHFFFAOYSA-N
